Day,Month,Year,Tx,Tn,RH,u(x),Rs,ETo,e(a),e(s),u2,Ra,n,N,Rnl,Rn
1,1,2001,22.5,3.3,22.6,1.79,17.38,3.5,0.336,1.75,1.79,22.98,10.48,10.48,8.47,4.92
2,1,2001,22.1,5.2,33.9,2.51,17.67,3.9,0.53,1.772,2.51,23.03,10.49,10.49,7.94,5.57
3,1,2001,22.6,5.4,44.6,4.12,16.51,4.5,0.713,1.82,4.12,23.08,9.76,10.49,6.82,5.9
4,1,2001,20.5,6.3,51.7,1.36,16.48,2.6,0.795,1.683,1.36,23.14,9.71,10.5,6.51,6.18
5,1,2001,20.6,5.2,41.1,2.48,15.71,3.5,0.612,1.656,2.48,23.2,8.98,10.51,6.46,5.64
6,1,2001,21.2,6.1,48.6,3.73,16.41,4,0.759,1.73,3.73,23.27,9.58,10.52,6.53,6.1
7,1,2001,20.4,9.3,47.3,4.62,11.9,4.2,0.799,1.784,4.62,23.33,5.47,10.53,4.02,5.14
8,1,2001,16.4,6.1,58.4,3.85,10.52,2.8,0.779,1.403,3.85,23.4,4.2,10.53,3.1,5
9,1,2001,15,2.7,57.4,3.45,17.28,2.8,0.652,1.224,3.45,23.48,10.25,10.54,6.73,6.57
10,1,2001,17,2.4,60.4,2.42,17.32,2.6,0.727,1.332,2.42,23.56,10.24,10.55,6.62,6.71
11,1,2001,18.5,5.3,51.6,1.1,18.17,2.4,0.719,1.51,1.1,23.64,10.56,10.56,7.19,6.68
12,1,2001,19.8,4.2,44.8,1.84,17.95,3,0.628,1.567,1.84,23.73,10.58,10.58,7.39,6.44
13,1,2001,20.6,4.2,39.3,1.57,17.67,3,0.566,1.626,1.57,23.82,10.42,10.59,7.42,6.19
14,1,2001,20.8,6.2,34.2,1.63,18.06,3.2,0.529,1.702,1.63,23.91,10.6,10.6,7.82,6.08
15,1,2001,20.3,4.4,33.4,1.41,18.61,2.9,0.479,1.609,1.41,24,10.61,10.61,7.96,6.13
16,1,2001,22.6,3.6,22.9,2.07,18.5,3.9,0.345,1.766,2.07,24.1,10.62,10.62,8.54,5.6
17,1,2001,22,3.2,23.4,2.63,18.61,4.3,0.341,1.706,2.63,24.21,10.64,10.64,8.5,5.71
18,1,2001,24,5.8,24.1,2.46,18.32,4.5,0.408,1.953,2.46,24.31,10.65,10.65,8.38,5.72
19,1,2001,26.1,7.8,26.1,3.99,17.08,6,0.504,2.22,3.99,24.42,9.59,10.66,7.47,5.68
20,1,2001,20.6,4.5,35.8,2.34,18.19,3.7,0.521,1.634,2.34,24.53,10.5,10.68,7.56,6.45
21,1,2001,20.2,4.8,34,1.43,17.9,3,0.493,1.614,1.43,24.65,10.19,10.69,7.42,6.36
22,1,2001,22.5,5.4,32.6,3.42,17.88,4.8,0.519,1.811,3.42,24.76,10.11,10.71,7.44,6.33
23,1,2001,23.8,7.9,34.8,4.2,17.87,5.4,0.627,2.007,4.2,24.89,10.04,10.72,7.26,6.5
24,1,2001,19.5,7.3,37.3,2.87,16.32,3.9,0.573,1.645,2.87,25.01,8.65,10.74,6.25,6.31
25,1,2001,19.3,4.1,43,1.91,17.68,3.1,0.591,1.529,1.91,25.14,9.75,10.76,6.75,6.86
